,AXP,AAPL,BA,CAT,CVX,CSCO,DIS,DOW,XOM,HD,IBM,INTC,JNJ,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT,WBA
Total Assets,"198,321,000","338,516,000","133,625,000","78,453,000","237,428,000","97,793,000","193,984,000","60,524,000","362,597,000","51,236,000","152,186,000","136,524,000","157,728,000","86,381,000","47,510,800","44,659,000","84,397,000","301,311,000","31,342,000","167,489,000","115,095,000","110,122,000","139,716,000","173,889,000","291,727,000","72,574,000","236,495,000","67,598,000"
Total Liabilities Net Minority Interest,"175,250,000","248,028,000","141,925,000","63,824,000","92,220,000","64,222,000","100,095,000","46,430,000","163,659,000","54,352,000","131,201,000","58,865,000","98,257,000","65,283,000","55,721,100","34,533,000","58,396,000","183,007,000","23,287,000","104,042,000","67,516,000","84,179,000","95,485,000","113,453,000","228,892,000","37,890,000","154,943,000","43,446,000"
Total Equity Gross Minority Interest,"23,071,000","90,488,000","-8,300,000","14,629,000","145,208,000","33,571,000","93,889,000","14,094,000","198,938,000","-3,116,000","20,985,000","77,659,000","59,471,000","21,098,000","-8,210,300","10,126,000","26,001,000","118,304,000","8,055,000","63,447,000","47,579,000","25,943,000","44,231,000","60,436,000","62,835,000","34,684,000","81,552,000","24,152,000"
Total Capitalization,"80,881,000","182,295,000","11,187,000","40,741,000","167,904,000","48,046,000","127,006,000","29,516,000","216,322,000","25,554,000","74,943,000","102,967,000","85,965,000","46,497,000","25,907,800","27,581,000","48,643,000","177,882,000","17,461,000","99,098,000","67,565,000","31,901,000","79,562,000","94,424,000","161,327,000","51,413,000","118,383,000","34,610,000"
Common Stock Equity,"23,071,000","90,488,000","-8,617,000","14,588,000","144,213,000","33,571,000","88,877,000","13,541,000","191,650,000","-3,116,000","20,841,000","77,659,000","59,471,000","18,981,000","-8,210,300","10,063,000","25,907,000","118,304,000","8,055,000","63,126,000","46,266,000","25,943,000","41,774,000","57,616,000","61,395,000","29,222,000","74,669,000","23,512,000"
Capital Lease Obligations,"25,000",,"229,000","128,000",-,,,"2,160,000","1,670,000","5,894,000","5,259,000",,,,"13,378,800","965,000",,"7,671,000","3,358,000",,"33,000",,"2,688,000",,"22,770,000",,"22,782,000",
Net Tangible Assets,"19,489,000","90,488,000","-20,015,000","6,827,000","139,750,000","-2,159,000","-14,631,000","986,000","191,650,000","-5,370,000","-52,617,000","40,556,000","-21,811,000","-7,785,000","-10,887,700","-9,760,000","-7,714,000","67,915,000","7,558,000","-30,879,000","-17,294,000","21,652,000","-32,335,000","-18,392,000","-67,551,000","-7,752,000","43,596,000","-3,924,000"
Invested Capital,"87,323,000","198,535,000","18,456,000","52,117,000","171,186,000","58,237,000","135,863,000","30,537,000","236,900,000","28,367,000","83,740,000","106,660,000","87,167,000","61,744,000","25,966,900","30,376,000","52,253,000","181,631,000","17,712,000","115,276,000","76,325,000","32,501,000","85,422,000","98,294,000","171,768,000","45,951,000","124,320,000","40,348,000"
Tangible Book Value,"19,489,000","90,488,000","-20,015,000","6,827,000","139,750,000","-2,159,000","-14,631,000","986,000","191,650,000","-5,370,000","-52,617,000","40,556,000","-21,811,000","-7,785,000","-10,887,700","-9,760,000","-7,714,000","67,915,000","7,558,000","-30,896,000","-18,222,000","21,652,000","-32,335,000","-18,392,000","-67,551,000","-13,214,000","43,596,000","-3,924,000"
Total Debt,"64,277,000","108,047,000","27,302,000","37,657,000","26,973,000","24,666,000","46,986,000","19,156,000","46,920,000","37,377,000","68,158,000","29,001,000","27,696,000","42,763,000","47,556,000","21,278,000","26,346,000","70,998,000","13,015,000","52,150,000","30,092,000","6,558,000","46,336,000","40,678,000","133,143,000","16,729,000","72,433,000","16,836,000"
Net Debt,"40,320,000","59,203,000","17,588,000","37,529,000","21,287,000","12,916,000","41,568,000","14,629,000","42,161,000","29,350,000","54,727,000","24,807,000","10,391,000","36,283,000","33,278,700","17,960,000","16,670,000","49,751,000","1,309,000","50,845,000","25,820,000","6,064,000","36,270,000","29,693,000","107,779,000","8,891,000","40,186,000","15,813,000"
Share Issued,"810,000","4,443,236","1,012,261","814,895","2,442,677","4,250,000","1,800,000","751,229","8,019,000","1,786,000","2,237,997","4,290,000","3,119,843","7,040,129","1,660,600","944,033","3,577,104","7,571,000","1,555,000","9,369,000","4,009,251","777,600","1,450,845","948,000","4,291,434","2,227,160","2,800,000","1,172,514"
Ordinary Shares Number,"810,000","4,443,236","562,909","550,083","1,882,168","4,250,000","1,781,000","741,499","4,234,000","1,077,000","887,110","4,290,000","2,632,507","4,280,129","746,300","575,185","2,539,016","7,571,000","1,555,000","5,534,000","2,504,751","255,500","864,366","948,000","4,135,828","2,227,160","2,800,000","895,388"
Preferred Shares Number,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasury Shares Number,-,,"449,352","264,812","560,508",,"19,000","9,730","3,785,000","709,000","1,350,887",,"487,336","2,760,000","914,300","368,848","1,038,087",,,"3,835,000","1,504,500","522,100","586,479",,"155,606",,,"277,126"
Total Revenue,"29,489,000","267,981,000","70,550,000","50,969,000","135,381,000","50,575,000","78,212,000","39,092,000","249,071,000","112,104,000","75,498,000","78,955,000","80,503,000","34,326,000","20,766,800","32,348,000","48,081,000","143,015,000","39,829,000","50,660,000","70,346,000","31,385,000","76,891,000","246,206,000","129,726,000","23,885,000","534,661,000","138,745,000"
Credit Losses Provision,"-6,079,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Interest Expense,"18,084,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Income from Associates & Other Participating Interests,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,"5,326,000","67,091,000","-6,095,000","7,061,000","5,724,000","14,368,000","6,968,000","-1,546,000","15,509,000","14,360,000","7,037,000","27,336,000","16,314,000","10,719,000","7,631,700","6,191,000","12,235,000","53,036,000","5,092,000","17,244,000","7,308,000","2,141,000","7,376,000","22,593,000","22,498,000","15,380,000","20,355,000","914,000"
Tax Provision,"1,254,000","9,876,000","-2,669,000","1,784,000","1,940,000","3,584,000","1,723,000","376,000","3,911,000","3,386,000","-844,000","3,675,000","1,129,000","1,511,000","1,827,800","1,208,000","2,101,000","8,755,000","788,000","1,426,000","2,228,000","312,000","2,839,000","5,135,000","2,818,000","2,898,000","4,986,000","178,000"
Net Income Common Stockholders,"3,935,000","57,215,000","-3,411,000","5,304,000","3,874,000","10,784,000","5,381,000","-1,976,000","11,380,000","10,974,000","7,878,000","23,661,000","15,185,000","9,189,000","5,803,900","4,971,000","10,147,000","44,281,000","4,304,000","15,790,000","4,725,000","1,817,000","4,108,000","17,098,000","19,145,000","12,482,000","15,029,000","760,000"
Diluted NI Available to Com Stockholders,"3,935,000","57,215,000","-3,411,000","5,304,000","3,874,000","10,784,000","5,381,000","-1,976,000","11,380,000","10,974,000","7,877,000","23,661,000","15,185,000","9,189,000","5,803,900","4,971,000","10,147,000","44,281,000","4,304,000","15,790,000","4,723,000","1,817,000","4,108,000","17,098,000","19,145,000","12,482,000","15,029,000","760,000"
Basic EPS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diluted EPS,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Basic Average Shares,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Diluted Average Shares,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
INTEREST_INCOME_AFTER_PROVISION_FOR_LOAN_LOSS,"2,622,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Income from Continuing & Discontinued Operation,"4,072,000","57,215,000","-3,413,000","5,304,000","3,874,000","10,784,000","5,381,000","-1,976,000","11,380,000","10,974,000","7,878,000","23,661,000","15,185,000","9,189,000","5,803,900","4,971,000","10,147,000","44,281,000","4,304,000","15,790,000","4,986,000","1,829,000","4,108,000","17,098,000","19,145,000","12,482,000","15,029,000","760,000"
