episode,steps,reward_0,reward_1,reward_2,loss_0,loss_1,loss_2,eps_greedy_0,eps_greedy_1,eps_greedy_2,collisions_0,collisions_1,collisions_2
0,6,-0.3320077211838534,-0.3320077211838534,-8.564982769605292,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
1,1,-0.30716791005275346,-0.30716791005275346,-50.74733046275975,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
2,4,-0.18218207540801415,-0.18218207540801415,-12.661379636375706,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
3,6,-0.1484632118067056,-0.1484632118067056,-8.591066669850491,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
4,10,-5.321303237456438,-0.3213032374564381,0.3213032374564381,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
5,1,-50.34731565664595,-0.347315656645943,0.347315656645943,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
6,4,-12.717355438808891,-0.21735543880889013,0.21735543880889013,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
7,4,-12.77681110102278,-0.2768111010227794,-0.34348635052892074,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
8,16,-0.30694457535395825,-0.30694457535395825,-3.245524937888992,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
9,2,-0.3113592958890685,-0.3113592958890685,-25.36774440161107,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
10,1,-0.3996897173308021,-50.3996897173308,0.1117517212920936,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
11,13,-4.125365533601634,-0.2792116874477878,0.27762125715716435,-0.07692307692307693,-0.07692307692307693,-0.07692307692307693,0.5,0.5,0.5,0.0,0.0,0.0
12,19,-0.27134369680295256,-0.27134369680295256,-2.705962157889363,-0.05263157894736842,-0.05263157894736842,-0.05263157894736842,0.5,0.5,0.5,0.0,0.0,0.0
13,2,-25.265242552457966,-0.26524255245796435,0.26524255245796435,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
14,6,-8.715892691353012,-0.3825593580196787,0.17818279685000524,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
15,18,-3.1019300569351356,-0.3241522791573578,0.3241522791573578,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555,0.5,0.5,0.5,0.0,0.0,0.0
16,11,-4.793029123140006,-0.2475745776854607,0.2475745776854607,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,0.5,0.5,0.5,0.0,0.0,0.0
17,14,-0.305804285406649,-3.877232856835221,0.305804285406649,-0.07142857142857142,-0.07142857142857142,-0.07142857142857142,0.5,0.5,0.5,0.0,0.0,0.0
18,10,19.80758961741295,19.80758961741295,-25.042724608012144,-0.1,-0.1,-0.1,0.5,0.5,0.5,2.0,0.0,2.0
19,8,-0.12734367217295098,-0.12734367217295098,-6.334559346337534,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
20,13,-0.15493357520179885,-0.15493357520179885,-3.8479262104258343,-0.07692307692307693,-0.07692307692307693,-0.07692307692307693,0.5,0.5,0.5,0.0,0.0,0.0
21,4,-0.32067907456619327,-12.820679074566193,0.32067907456619327,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
22,5,-0.2440838877124803,-0.2440838877124803,-10.601211598541314,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
23,10,-0.15454891717583233,-5.154548917175832,0.15454891717583233,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
24,4,-0.39223283701631273,-0.39223283701631273,-12.52364773176833,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
25,1,-50.10298630684438,-0.10298630684438004,0.10298630684438004,-1.0,-1.0,-1.0,0.5,0.5,0.5,0.0,0.0,0.0
26,16,-0.18722045728224307,-0.18722045728224307,-3.072222741725655,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
27,13,-4.1482683308691355,-0.3021144847152896,0.28558038197478025,-0.07692307692307693,-0.07692307692307693,-0.07692307692307693,0.5,0.5,0.5,0.0,0.0,0.0
28,6,-0.20839787009951746,-0.20839787009951746,-8.449345931554738,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
29,9,-0.22937371982513033,-0.22937371982513033,-5.568218341222395,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.5,0.5,0.5,0.0,0.0,0.0
30,12,-4.390592503584658,-0.22392583691799162,0.22392583691799162,-0.08333333333333333,-0.08333333333333333,-0.08333333333333333,0.5,0.5,0.5,0.0,0.0,0.0
31,2,-0.3200024047201251,-0.3200024047201251,-25.54923650652909,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
32,48,-0.2406405857287844,-0.2406405857287844,-0.896979507748715,-0.020833333333333332,-0.020833333333333332,-0.020833333333333332,0.5,0.5,0.5,0.0,0.0,0.0
33,24,-2.3449271007292016,-0.2615937673958687,0.2615937673958687,-0.041666666666666664,-0.041666666666666664,-0.041666666666666664,0.5,0.5,0.5,0.0,0.0,0.0
34,6,-8.425844342675925,-0.09251100934258956,0.09251100934258956,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
35,10,-0.2084704619702852,-5.208470461970285,0.2084704619702852,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
36,2,-0.32444586631690053,-0.32444586631690053,-25.489118841553715,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
37,5,-0.35792701004763816,-0.35792701004763816,-10.074496910752066,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
38,2,-0.19283034544491556,-25.192830345444914,0.19283034544491556,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
39,2,-0.2810188721772693,-25.281018872177267,0.2810188721772693,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
40,4,-12.624547775011473,-0.12454777501147292,0.12454777501147292,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
41,18,-0.21405839424238737,-0.21405839424238737,-2.91885856590451,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555,0.5,0.5,0.5,0.0,0.0,0.0
42,8,-6.481901875871084,-0.23190187587108368,-6.254314545333569,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
43,15,-0.3695031638858389,-0.3695031638858389,-3.2158368835609767,-0.06666666666666667,-0.06666666666666667,-0.06666666666666667,0.5,0.5,0.5,0.0,0.0,0.0
44,3,-0.2819429697780855,-16.948609636444754,0.2819429697780855,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.5,0.5,0.5,0.0,0.0,0.0
45,14,-3.9005795568629966,-0.32915098543442506,0.2405362660032034,-0.07142857142857142,-0.07142857142857142,-0.07142857142857142,0.5,0.5,0.5,0.0,0.0,0.0
46,7,-0.3418619552730429,-0.3418619552730429,-7.053261983547762,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,0.5,0.5,0.5,0.0,0.0,0.0
47,13,-4.021269951910279,-0.17511610575643347,0.17511610575643347,-0.07692307692307693,-0.07692307692307693,-0.07692307692307693,0.5,0.5,0.5,0.0,0.0,0.0
48,20,-0.12331724555915231,-0.12331724555915231,-2.4892938197848293,-0.05,-0.05,-0.05,0.5,0.5,0.5,0.0,0.0,0.0
49,11,-0.20915672225936313,-4.7546112677139085,0.20915672225936313,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,0.5,0.5,0.5,0.0,0.0,0.0
50,11,-4.6773054163560905,-0.1318508709015453,0.1318508709015453,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,0.5,0.5,0.5,0.0,0.0,0.0
51,6,8.18534485570849,16.51867818904182,-16.547960717993675,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,1.0,0.0,1.0
52,3,-0.13143407165693982,-16.79810073832361,-0.2279051289660987,-0.3333333333333333,-0.3333333333333333,-0.3333333333333333,0.5,0.5,0.5,0.0,0.0,0.0
53,54,-0.3532846155175001,-1.279210541443426,0.3532846155175001,-0.018518518518518517,-0.018518518518518517,-0.018518518518518517,0.5,0.5,0.5,0.0,0.0,0.0
54,2,-0.2570305547963735,-25.257030554796373,0.2570305547963735,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
55,13,-0.25193231316258996,-0.25193231316258996,-3.744440396478616,-0.07692307692307693,-0.07692307692307693,-0.07692307692307693,0.5,0.5,0.5,0.0,0.0,0.0
56,2,-0.3962850416915005,-25.3962850416915,-0.027960849948612143,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
57,16,-0.178946526505428,-0.178946526505428,-3.0731116946277504,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
58,41,-0.25736454430553246,-1.4768767394274838,0.24088915317034906,-0.024390243902439025,-0.024390243902439025,-0.024390243902439025,0.5,0.5,0.5,0.0,0.0,0.0
59,5,-0.21136386826272774,-10.211363868262728,0.18367930025553084,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
60,18,-0.214639534637674,-0.214639534637674,-2.6257010774200875,-0.05555555555555555,-0.05555555555555555,-0.05555555555555555,0.5,0.5,0.5,0.0,0.0,0.0
61,5,-0.3549062534158113,-10.354906253415813,-9.879617361904774,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
62,5,-0.3163955143689998,-0.3163955143689998,-10.485059776738002,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
63,25,-0.16519305604114962,-2.1651930560411494,0.16519305604114962,-0.04,-0.04,-0.04,0.5,0.5,0.5,0.0,0.0,0.0
64,7,-7.265459275480981,-0.12260213262383789,0.12260213262383789,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,0.5,0.5,0.5,0.0,0.0,0.0
65,11,-4.7819284547151915,-0.23647390926064676,0.23647390926064676,-0.09090909090909091,-0.09090909090909091,-0.09090909090909091,0.5,0.5,0.5,0.0,0.0,0.0
66,2,-0.28023882796426436,-0.28023882796426436,-25.40618396890086,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
67,2,-0.25801461980368456,-25.258014619803685,-0.5001260851034031,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
68,16,-0.15884076427316599,-3.283840764273166,0.15884076427316599,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,0.0,0.0
69,19,-0.36457879802471205,-2.996157745393133,0.36457879802471205,-0.05263157894736842,-0.05263157894736842,-0.05263157894736842,0.5,0.5,0.5,0.0,0.0,0.0
70,10,-5.1586036505851,-0.15860365058509962,0.1322581162018741,-0.1,-0.1,-0.1,0.5,0.5,0.5,0.0,0.0,0.0
71,5,-10.128828975528517,-0.1288289755285177,0.1288289755285177,-0.2,-0.2,-0.2,0.5,0.5,0.5,0.0,0.0,0.0
72,9,-5.719396659773926,-0.16384110421837036,0.16384110421837036,-0.1111111111111111,-0.1111111111111111,-0.1111111111111111,0.5,0.5,0.5,0.0,0.0,0.0
73,41,4.72919595516594,4.72919595516594,-5.994185674788998,-0.024390243902439025,-0.024390243902439025,-0.024390243902439025,0.5,0.5,0.5,2.0,0.0,2.0
74,4,-12.705159209201476,-0.2051592092014747,0.2051592092014747,-0.25,-0.25,-0.25,0.5,0.5,0.5,0.0,0.0,0.0
75,8,-6.505606255868332,-0.2556062558683322,0.2556062558683322,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
76,6,-0.378002870552908,-0.378002870552908,-8.162937505710163,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
77,6,-8.691020981644904,-0.35768764831157146,0.33398811143003687,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,0.5,0.5,0.5,0.0,0.0,0.0
78,2,-0.13661547220864023,-0.13661547220864023,-26.65950149661649,-0.5,-0.5,-0.5,0.5,0.5,0.5,0.0,0.0,0.0
79,8,-0.1963349761749607,-6.446334976174961,0.1963349761749607,-0.125,-0.125,-0.125,0.5,0.5,0.5,0.0,0.0,0.0
80,16,6.05048410679032,6.05048410679032,-9.507153975326247,-0.0625,-0.0625,-0.0625,0.5,0.5,0.5,0.0,1.0,1.0
81,7,21.304667437784058,28.447524580641204,-28.447524580641204,-0.14285714285714285,-0.14285714285714285,-0.14285714285714285,0.5,0.5,0.5,0.0,2.0,2.0
